MaritalStatus,MaritalStatusLabel,ApplicationMode,ApplicationModeLabel,ApplicatioOrder,Course,CourseLabel,DaytimeEveningAttendance,AttendanceTiming,PreviousQualification,Nationality,NationalityLabel,MotherQualification,MotherQualLabel,FatherQualification,FatherQualLabel,MotherOccupation,MotherOccLabel,FatherOccupation,FatherOccLabel,Displaced,EducationalSpecialNeeds,SpecialNeedsLabel,Debtor,DebtorLabel,TuitionFeesUpToDate,Gender,GenderLabel,ScholarshipHolder,ScholarshipHolderLabel,AgeAtEnrollment,AgeBand,International,CurricularUnits1stSem_credited,CurricularUnits1stSem_enrolled,CurricularUnits1stSem_evaluations,CurricularUnits1stSe_approved,CurricularUnits1stSem_grade,CurricularUnits1stSem_withoutevaluations,CurricularUnits2ndtSem_credited,CurricularUnits2ndtSem_enrolled,CurricularUnits2ndtSem_evaluations,CurricularUnits2ndtSem_approved,CurricularUnits2ndtSem_grade,CurricularUnits2ndtSem_withoutevaluations,TotalGrades,TotalUnitsApproved,AverageGrade1stAnd2ndSem,GradeBand,TotalCreditsEarned,TotalUnitsEnrolled,TotalUnitsApproved2,PassRates,UnemploymentRate,InflationRate,GDP,RiskLevel,Target,is_Dropout
1,Single,8,Quota,5,2,IT,1,Daytime,1,1,India,13,IT Certification,10,PhD,6,Business,10,Technician,1,0,No,0,No,1,1,Male,0,No,20,20-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,10.8,1.4,1.74,Medium Risk,Dropout,1
1,Single,6,Lateral Entry,1,11,Chemistry,1,Daytime,1,1,India,1,No Schooling,3,Middle,4,Government Employee,4,Government Employee,1,0,No,0,No,0,1,Male,0,No,19,<20,0,0,6,6,6,14,0,0,6,6,6,13.66666667,0,27.66666667,12,13.83333333,13+,0,12,12,1,13.9,-0.3,0.79,Medium Risk,Graduate,0
1,Single,1,Regular,5,5,Electrical Engg,1,Daytime,1,1,India,22,Trade,27,Bachelor of Arts,10,Nurse,10,Technician,1,0,No,0,No,0,1,Male,0,No,19,<20,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,<5,0,12,0,0,10.8,1.4,1.74,Medium Risk,Dropout,1
1,Single,8,Quota,2,15,Psychology,1,Daytime,1,1,India,23,Specialized Training,27,Bachelor of Arts,6,Business,4,Government Employee,1,0,No,0,No,1,0,Female,0,No,20,20-25,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,25.82857143,11,12.91428571,9-12.9,0,12,11,0.916666667,9.4,-0.8,-3.12,High Risk,Graduate,0
2,Married,12,Evening Program,1,3,Mechanical Engg,0,Evening,1,1,India,22,Trade,28,Bachelor of Science,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,0,No,45,>30,0,0,6,9,5,12.33333333,0,0,6,6,6,13,0,25.33333333,11,12.66666667,9-12.9,0,12,11,0.916666667,13.9,-0.3,0.79,Medium Risk,Graduate,0
2,Married,12,Evening Program,1,17,Other,0,Evening,12,1,India,22,Trade,27,Bachelor of Arts,10,Nurse,8,Lawyer,0,0,No,1,Yes,1,1,Male,0,No,50,>30,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,23.35714286,10,11.67857143,9-12.9,0,10,10,1,16.2,0.3,-0.92,Medium Risk,Graduate,0
1,Single,1,Regular,1,12,Economics,1,Daytime,1,1,India,13,IT Certification,28,Bachelor of Science,8,Professional,11,Professional,1,0,No,0,No,1,0,Female,1,Yes,18,<20,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,27.645,15,13.8225,13+,0,15,15,1,15.5,2.8,-4.06,Medium Risk,Graduate,0
1,Single,9,Online,4,11,Chemistry,1,Daytime,1,1,India,22,Trade,27,Bachelor of Arts,10,Nurse,10,Technician,1,0,No,0,No,0,1,Male,0,No,22,20-25,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,<5,0,10,0,0,15.5,2.8,-4.06,Medium Risk,Dropout,1
1,Single,1,Regular,3,10,Physics,1,Daytime,1,15,Australia,1,No Schooling,1,No Schooling,10,Nurse,10,Technician,0,0,No,0,No,1,0,Female,1,Yes,21,20-25,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,28.01785714,12,14.00892857,13+,0,12,12,1,16.2,0.3,-0.92,Medium Risk,Graduate,0
1,Single,1,Regular,1,10,Physics,1,Daytime,1,1,India,1,No Schooling,14,Professional,5,Private Employee,8,Lawyer,1,0,No,1,Yes,0,0,Female,0,No,18,<20,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,24.9,7,12.45,9-12.9,0,12,7,0.583333333,8.9,1.4,3.51,Low Risk,Dropout,1
